"","Stem","wk1","wk2","wk3","wk4","wk5","wk6","wk7","wk8","wk9","wk10","wk11","wk12","wk13","wk14","wk15","wk16","wk17","wk18","wk19","wk20","wk21","wk22","wk23","wk24","wk25","wk26","wk27","wk28","wk29","wk30","wk31","wk32","wk33","wk34","wk35","wk36","wk37","wk38","wk39","wk40","wk41","wk42","wk43","wk44","wk45","wk46","wk47","wk48","wk49","wk50","wk51","wk52"
"ONWARD","ONWARD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OOP","OOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OPAQU","OPAQU",0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPEC","OPEC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"OPEN","OPEN",1,6,0,13,12,4,1,0,15,25,5,2,8,17,85,5,6,25,2,14,3,10,2,25,4,15,5,24,13,6,15,7,23,2,1,6,6,10,16,1,19,13,23,13,20,13,32,1,19,5,41,15
"OPENINGUP","OPENINGUP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OPERA","OPERA",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPERANDI","OPERANDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OPER","OPER",0,0,0,1,0,2,4,0,0,5,0,4,0,1,11,0,1,5,0,5,4,0,3,0,1,2,3,1,1,3,3,2,2,3,2,3,3,2,2,0,5,0,5,4,3,5,0,0,0,3,0,0
"OPINION","OPINION",0,0,0,0,1,0,0,0,1,1,1,0,0,1,3,1,0,0,0,0,0,3,2,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0,1,1,0,2,1,2,2,3,0,0,0,0,0,1
"OPIOID","OPIOID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OPIUM","OPIUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"OPPO","OPPO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPPON","OPPON",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
"OPPORTUN","OPPORTUN",2,2,0,2,6,2,3,0,6,1,1,4,6,0,7,2,1,3,2,4,5,4,0,1,3,0,9,1,5,3,3,4,1,1,0,2,3,7,7,0,8,3,9,5,1,4,6,1,1,4,5,6
"OPPORTUNIST","OPPORTUNIST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OPPOS","OPPOS",3,1,0,2,1,1,0,0,3,0,1,0,2,0,1,0,2,2,1,0,2,0,3,0,5,4,7,5,4,2,3,2,1,2,1,0,7,1,0,1,2,1,3,2,1,0,2,0,0,1,2,0
"OPPOSETH","OPPOSETH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OPPOSIT","OPPOSIT",0,0,0,2,1,0,0,0,0,0,0,2,0,4,1,2,2,2,2,0,0,1,0,1,1,1,3,0,2,1,3,1,0,1,0,0,2,0,2,0,0,0,3,2,0,1,0,0,0,1,0,1
"OPPRESS","OPPRESS",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OPPROBRIUM","OPPROBRIUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
