"","Stem","wk1","wk2","wk3","wk4","wk5","wk6","wk7","wk8","wk9","wk10","wk11","wk12","wk13","wk14","wk15","wk16","wk17","wk18","wk19","wk20","wk21","wk22","wk23","wk24","wk25","wk26","wk27","wk28","wk29","wk30","wk31","wk32","wk33","wk34","wk35","wk36","wk37","wk38","wk39","wk40","wk41","wk42","wk43","wk44","wk45","wk46","wk47","wk48","wk49","wk50","wk51","wk52"
"COMPREHENS","COMPREHENS",1,0,1,1,3,1,0,1,1,2,2,1,2,3,1,0,0,3,3,2,0,4,3,0,4,1,2,4,2,2,5,1,1,1,0,1,2,1,1,0,3,1,7,2,3,8,5,0,1,8,4,4
"COMPRESS","COMPRESS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMPRIS","COMPRIS",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"COMPROMIS","COMPROMIS",0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,2,3,3,1,2,0,3,4,1,0,1,2,2,2,0,1,0,1,1,0,0,4,0,0,1,0,0,1,1,0,3,2,0,1,0
"COMPULSORI","COMPULSORI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"COMPUT","COMPUT",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"COMRAD","COMRAD",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONCED","CONCED",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONCEIT","CONCEIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONCEIV","CONCEIV",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CONCENTR","CONCENTR",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,1,2,0,1,1,0,0,0,0,0,0
"CONCEPT","CONCEPT",1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,2,5,1,1,0,3,1,0,0,0,1,1
"CONCEPTU","CONCEPTU",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CONCERN","CONCERN",1,0,3,6,6,6,3,1,1,4,3,7,5,4,13,4,4,3,4,7,10,3,2,1,3,2,6,5,2,0,4,2,3,8,5,2,3,2,4,0,14,2,5,5,9,4,1,1,10,1,2,7
"CONCERT","CONCERT",0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,1,0,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,1,0,2,1,1,0
"CONCESS","CONCESS",2,1,0,1,0,0,1,0,1,0,0,2,3,3,0,2,0,1,0,0,0,3,1,0,4,3,1,5,2,0,0,1,1,0,0,1,0,5,0,0,2,1,1,0,1,0,0,3,1,1,0,0
"CONCILIATORI","CONCILIATORI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CONCLAV","CONCLAV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONCLUD","CONCLUD",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,2,2,0,0,0,2,2,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,2,2,1
"CONCLUS","CONCLUS",0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,0,0,4,1,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,2,1,0,0,1,2,1,2,1,2,0,0,0,0,0,1
"CONCOMIT","CONCOMIT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONCRET","CONCRET",0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,2,1,0
"CONCURR","CONCURR",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CONDEMN","CONDEMN",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0
"CONDESCEND","CONDESCEND",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"CONDESCENS","CONDESCENS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONDIT","CONDIT",3,0,0,0,2,0,1,0,0,0,0,1,1,2,5,2,0,2,0,1,4,1,1,1,0,1,4,0,0,2,6,1,6,0,2,1,1,1,2,0,3,0,2,0,1,1,4,0,0,2,1,2
"CONDON","CONDON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CONDOR","CONDOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"CONDUC","CONDUC",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,0,1,0,0,2,0,1,1,0,0,0,0,1,1,3,0,2,1,1,0,2,2,1,0
"CONDUCT","CONDUCT",1,3,1,0,1,0,1,0,0,4,2,0,0,4,1,3,0,0,1,2,3,0,0,1,0,1,3,2,2,4,5,2,1,0,0,3,0,0,0,1,1,1,7,0,0,3,2,0,1,0,0,0
"CONDUCTOR","CONDUCTOR",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONDUIT","CONDUIT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFER","CONFER",0,0,0,0,1,0,0,0,4,1,1,2,0,1,5,2,0,1,0,1,3,1,0,1,0,1,0,1,5,3,0,1,1,2,0,0,0,0,0,0,1,1,0,2,1,2,1,0,0,1,2,5
"CONFESS","CONFESS",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFID","CONFID",0,0,0,2,0,0,0,0,2,3,1,0,3,0,6,0,2,3,1,1,3,3,0,0,0,2,4,2,4,2,0,1,1,3,0,0,1,1,3,0,5,0,6,3,4,10,3,1,4,0,4,2
"CONFIDENTI","CONFIDENTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFIGUR","CONFIGUR",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFIN","CONFIN",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"CONFIRM","CONFIRM",0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"CONFLAT","CONFLAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFLICT","CONFLICT",0,0,0,2,4,2,2,0,4,1,2,0,8,5,13,0,0,1,0,0,2,1,0,1,5,3,1,13,8,1,2,1,5,4,0,1,8,6,28,4,9,4,5,8,3,6,2,5,14,9,7,14
"CONFLUENC","CONFLUENC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"CONFORM","CONFORM",0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
"CONFOUND","CONFOUND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONFRONT","CONFRONT",3,1,0,3,0,1,0,1,1,2,0,3,3,0,4,1,0,2,2,0,0,1,1,2,0,3,1,7,4,0,1,1,0,0,0,1,2,2,6,3,17,3,6,10,9,1,2,0,5,5,6,6
"CONFUCIUS","CONFUCIUS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CONFUS","CONFUS",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"CONGLOMER","CONGLOMER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONGO","CONGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONGRATUL","CONGRATUL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONGRATULATORI","CONGRATULATORI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CONGREG","CONGREG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CONGRESS","CONGRESS",2,2,0,2,1,0,1,1,2,8,0,6,3,2,6,3,0,1,2,2,3,0,2,0,2,3,6,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,2,4,6,1,3,0,1,1,2,1
"CONGRESSION","CONGRESSION",0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CONGRESSMAN","CONGRESSMAN",0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONGRESSMEN","CONGRESSMEN",0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONGSHENG","CONGSHENG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CONJECTUR","CONJECTUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CONNECT","CONNECT",0,3,0,6,0,1,4,3,2,0,1,0,0,0,2,2,4,0,0,0,0,2,0,1,0,0,1,4,0,2,5,1,1,0,4,8,1,0,0,0,16,6,10,4,1,2,5,0,1,0,2,1
"CONNECTED","CONNECTED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CONOR","CONOR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONQUER","CONQUER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"CON","CON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CONSCIENC","CONSCIENC",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSCIOUS","CONSCIOUS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSECUT","CONSECUT",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"CONSENSUS","CONSENSUS",0,3,1,0,1,0,3,0,0,3,2,2,0,3,4,1,2,2,2,3,5,2,3,0,8,4,2,7,2,1,2,4,1,1,0,0,1,1,2,0,5,3,3,2,0,0,0,2,7,9,2,4
"CONSENT","CONSENT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"CONSEQU","CONSEQU",0,0,0,1,3,0,2,0,2,1,1,2,4,1,0,0,1,1,2,3,1,4,4,2,1,1,1,1,2,1,3,0,2,2,0,0,1,0,1,0,1,1,1,1,1,1,1,2,0,0,1,0
"CONSEQUENTI","CONSEQUENTI",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"CONSERV","CONSERV",2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,0,0,1,1,0
"CONSERVATIONIST","CONSERVATIONIST",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSERVAT","CONSERVAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSID","CONSID",2,0,0,4,7,1,2,2,1,1,6,2,4,1,10,3,2,1,1,5,3,4,0,3,5,2,3,3,3,3,3,3,4,2,2,1,0,3,1,0,5,2,3,3,0,4,0,4,2,2,4,0
"CONSIDER","CONSIDER",0,1,0,1,1,2,1,1,0,0,2,2,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,2,0,1,2,0,1,1,0,0,1,0,1,0,0
"CONSID A","CONSID A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSIGN","CONSIGN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CONSIST","CONSIST",1,0,0,0,0,1,1,1,0,0,1,0,1,1,2,0,0,1,0,1,2,0,0,0,3,0,0,2,0,0,3,1,1,2,1,0,3,0,1,0,5,2,1,1,0,1,0,0,1,0,0,3
"CONSOLID","CONSOLID",0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,1,0,3,1,0,4,2,0,0,0,0,1
"CONSON","CONSON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSORTIUM","CONSORTIUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSPICU","CONSPICU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CONSPIRACI","CONSPIRACI",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CONSTANT","CONSTANT",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,1,0,2,1
"CONSTEL","CONSTEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSTELLIUM","CONSTELLIUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSTITU","CONSTITU",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CONSTITUT","CONSTITUT",0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,1,0,2,0
"CONSTRAIN","CONSTRAIN",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,1,0,0,0,0
"CONSTRAINT","CONSTRAINT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"CONSTRUCT","CONSTRUCT",1,2,2,1,16,0,2,0,4,3,0,1,1,0,1,0,0,2,2,3,3,3,2,1,6,0,0,0,1,0,2,1,2,0,1,5,1,2,2,0,8,3,8,0,1,0,1,0,7,0,0,4
"CONSTRU","CONSTRU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSUL","CONSUL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2
"CONSULAR","CONSULAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CONSULT","CONSULT",0,1,0,1,1,0,1,1,4,2,0,1,2,0,3,0,0,2,2,1,0,3,0,1,0,1,1,3,0,0,0,1,1,1,0,0,3,1,3,0,0,3,5,1,0,0,3,1,5,1,0,3
"CONSUM","CONSUM",3,3,1,2,7,0,2,1,1,1,2,9,3,6,8,0,0,3,0,4,2,4,2,0,8,2,6,4,2,1,4,2,1,6,1,3,3,11,13,0,5,2,2,3,5,5,2,6,9,1,0,0
"CONSUMPT","CONSUMPT",0,0,0,2,6,0,0,1,0,1,1,2,2,1,7,1,0,0,0,2,2,0,0,1,1,0,0,1,0,1,0,8,15,0,5,2,1,1,5,0,6,1,1,0,4,2,0,1,0,2,5,0
"CONTACT","CONTACT",0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CONTAGI","CONTAGI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONTAIN","CONTAIN",2,0,0,0,1,2,3,0,0,0,0,0,3,6,2,1,2,2,1,0,3,2,0,1,1,2,0,20,3,3,2,0,2,0,1,0,1,2,0,0,7,3,2,2,0,2,1,0,1,4,2,2
"CONTAMIN","CONTAMIN",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONTEMPL","CONTEMPL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CONTEMPORARI","CONTEMPORARI",0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0
"CONTEMPT","CONTEMPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CONTEND","CONTEND",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CONTENT","CONTENT",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0
"CONTENTI","CONTENTI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,3,0,0,0,0
"CONTEST","CONTEST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0
"CONTEXT","CONTEXT",0,0,0,1,3,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,4,2,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,2
"CONTIN","CONTIN",0,0,1,0,0,0,2,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,3,1,0,3,0,14,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3,3
"CONTINENT","CONTINENT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"CONTING","CONTING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CONTINU","CONTINU",8,1,0,7,3,5,2,1,3,12,6,9,6,11,13,8,3,3,8,5,13,8,4,7,3,17,3,19,14,10,9,17,4,8,8,8,3,9,8,0,13,4,15,9,6,13,11,4,14,3,14,11
"CONTINU EXPAND","CONTINU EXPAND",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
